method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
sd,17,-0.218,9.922,6.546,-1280124547.687137,-1280124547.687137,0.0,6.259,6.1236
sd,18,-0.955,0.542,5.352,-10650073154.278187,-10650073154.278187,0.0,7.5971,7.0536
sd,19,-11.187,6.316,10.29,-3473364579.459041,-3473364579.459041,0.0,6.4164,5.9333
sd,20,-0.554,1.853,7.064,-22571332843.948208,-22571332843.948208,0.0,8.5583,8.1369
sd,21,1.369,-5.247,3.232,-9724192995.458885,-9724192995.458885,0.0,7.3215,7.3348
sd,22,0.07,-5.888,11.303,-15037184686.182491,-15037184686.182491,0.0,7.7284,8.3099
sd,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0,5.4506,5.675
sd,24,4.404,6.321,12.233,-8296952487.816238,-8296952487.816238,0.0,7.2616,7.1827
sd,25,2.91,-14.49,-3.315,-3063054965.747036,-3063054965.747036,0.0,6.8945,6.0349
sd,26,9.549,-16.666,0.679,-4712621803.721681,-4712621803.721681,0.0,6.6616,6.4428
sd,27,5.917,21.6,-2.128,-429470319.687364,-429470319.687364,0.0,5.6093,6.258
sd,28,-2.328,1.908,-0.602,-887340604.624313,-887340604.624313,0.0,6.1273,6.2211
sd,29,1.98,-2.287,-3.209,-2634479480.685681,-2634479480.685681,0.0,6.5112,6.2454
sd,30,-1.564,1.008,-6.45,-1052873579.065653,-1052873579.065653,0.0,6.5354,6.1092
vdw,0,0.0,0.0,0.0,-428.772414,-428.772414,0.0,4.9335,5.4768
vdw,1,2.494,-2.851,-2.208,-625.448317,-625.448317,0.0,5.2495,4.9267
vdw,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,5.002,5.0695
vdw,3,4.739,-4.75,-13.317,-15.072403,-15.072403,0.0,4.5569,4.4387
vdw,4,-1.08,-0.59,23.956,-628.346633,-628.346633,0.0,5.3719,4.9367
vdw,5,4.69,1.493,4.73,-484.260658,-484.260658,0.0,4.7657,5.6655
vdw,6,-0.246,1.486,3.166,-581.495677,-581.495677,0.0,5.1377,4.8399
vdw,7,3.704,-1.518,-0.543,-536.89635,-536.89635,0.0,5.5172,5.206
vdw,8,2.228,1.098,-1.144,-8.329372,-8.329372,0.0,4.7912,5.1569
vdw,9,-16.055,-0.431,10.143,-31.168285,-31.168285,0.0,5.2821,5.0105
vdw,10,-0.262,0.804,2.018,-1119.420395,-1119.420395,0.0,5.0993,5.7677
vdw,11,1.641,-3.143,-3.191,-419.724829,-419.724829,0.0,5.087,5.2775
vdw,12,4.066,3.593,4.868,-668.804808,-668.804808,0.0,6.4528,5.1597
vdw,13,0.65,6.785,9.923,-914.134404,-914.134404,0.0,5.0871,6.3378
vdw,14,-3.1,3.333,9.533,-549.896757,-549.896757,0.0,5.183,5.3975
vdw,15,-2.423,-5.175,0.131,-778.922714,-778.922714,0.0,6.1058,5.7818
vdw,16,-4.491,-8.856,11.659,-541.533824,-541.533824,0.0,5.855,6.2432
vdw,17,-0.218,9.922,6.546,-359.072451,-359.072451,0.0,5.4365,5.6748
vdw,18,-0.955,0.542,5.352,-1149.483618,-1149.483618,0.0,5.5457,5.4245
vdw,19,-11.187,6.316,10.29,-311.252491,-311.252491,0.0,5.542,6.1372
vdw,20,-0.554,1.853,7.064,-1955.718141,-1955.718141,0.0,5.2837,5.862
vdw,21,1.369,-5.247,3.232,-1145.902318,-1145.902318,0.0,5.4505,5.0782
vdw,22,0.07,-5.888,11.303,-1569.257573,-1569.257573,0.0,5.1976,5.4814
vdw,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0,4.5543,4.7022
vdw,24,4.404,6.321,12.233,-675.710045,-675.710045,0.0,5.7605,5.3356
vdw,25,2.91,-14.49,-3.315,-338.554799,-338.554799,0.0,5.0419,5.6075
vdw,26,9.549,-16.666,0.679,-473.782346,-473.782346,0.0,5.0999,4.7456
vdw,27,5.917,21.6,-2.128,-45.970756,-45.970756,0.0,5.7587,5.0178
vdw,28,-2.328,1.908,-0.602,-232.918715,-232.918715,0.0,4.8022,4.988
vdw,29,1.98,-2.287,-3.209,-425.617395,-425.617395,0.0,5.8966,4.7724
vdw,30,-1.564,1.008,-6.45,-276.134421,-276.134421,0.0,4.7806,5.5248
pisa,0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.5818,4.6216
pisa,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,5.4367,4.3612
pisa,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,3.9212,4.4677
pisa,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,5.0444,4.4467
