method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
cpydock,14,-3.1,3.333,9.533,-21.931333,-17.779871,4.151461999999999,25.3995,289.9456
cpydock,15,-2.423,-5.175,0.131,-21.510845,-26.598715,-5.087869999999999,25.6045,311.3109
cpydock,16,-4.491,-8.856,11.659,-3.182814,3.121545,6.304359,24.5019,290.635
cpydock,17,-0.218,9.922,6.546,-3.642523,-5.171024,-1.5285009999999999,24.8833,290.7498
cpydock,18,-0.955,0.542,5.352,-60.566856,-62.591448,-2.0245919999999984,25.4921,297.3819
cpydock,19,-11.187,6.316,10.29,-15.892214,-15.352445,0.5397689999999997,26.1705,284.453
cpydock,20,-0.554,1.853,7.064,-122.515611,-124.876789,-2.3611779999999953,26.0287,284.5652
cpydock,21,1.369,-5.247,3.232,-42.404545,-48.566335,-6.161790000000003,25.9009,288.2498
cpydock,22,0.07,-5.888,11.303,-78.025417,-68.42498,9.600437,27.291,285.2831
cpydock,23,-8.225,5.265,-11.431,4.529452,4.235381,-0.29407099999999975,23.8164,281.1624
cpydock,24,4.404,6.321,12.233,-43.358673,-47.998593,-4.6399199999999965,24.9747,282.9872
cpydock,25,2.91,-14.49,-3.315,-4.160989,-6.708687,-2.5476980000000005,27.2831,294.593
cpydock,26,9.549,-16.666,0.679,-19.467816,-23.855821,-4.388005,25.0028,285.2871
cpydock,27,5.917,21.6,-2.128,8.329525,8.659802,0.3302770000000006,24.784,283.1299
cpydock,28,-2.328,1.908,-0.602,13.929025,10.295112,-3.6339129999999997,25.9936,286.2508
cpydock,29,1.98,-2.287,-3.209,10.299526,4.034605,-6.264921,24.6504,289.8917
cpydock,30,-1.564,1.008,-6.45,7.533935,11.58319,4.0492550000000005,24.9185,285.129
sd,0,0.0,0.0,0.0,-2364375385.24356,-2364375385.24356,0.0,9.071,8.2928
sd,1,2.494,-2.851,-2.208,-4220188891.378708,-4220188891.378708,0.0,9.5664,9.8836
