method,pose,tx,ty,tz,exact,grid,diff
vdw,14,-3.1,3.333,9.533,-549.896757,-549.896757,0.0
vdw,15,-2.423,-5.175,0.131,-778.922714,-778.922714,0.0
vdw,16,-4.491,-8.856,11.659,-541.533824,-541.533824,0.0
vdw,17,-0.218,9.922,6.546,-359.072451,-359.072451,0.0
vdw,18,-0.955,0.542,5.352,-1149.483618,-1149.483618,0.0
vdw,19,-11.187,6.316,10.29,-311.252491,-311.252491,0.0
vdw,20,-0.554,1.853,7.064,-1955.718141,-1955.718141,0.0
vdw,21,1.369,-5.247,3.232,-1145.902318,-1145.902318,0.0
vdw,22,0.07,-5.888,11.303,-1569.257573,-1569.257573,0.0
vdw,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
vdw,24,4.404,6.321,12.233,-675.710045,-675.710045,0.0
vdw,25,2.91,-14.49,-3.315,-338.554799,-338.554799,0.0
vdw,26,9.549,-16.666,0.679,-473.782346,-473.782346,0.0
vdw,27,5.917,21.6,-2.128,-45.970756,-45.970756,0.0
vdw,28,-2.328,1.908,-0.602,-232.918715,-232.918715,0.0
vdw,29,1.98,-2.287,-3.209,-425.617395,-425.617395,0.0
vdw,30,-1.564,1.008,-6.45,-276.134421,-276.134421,0.0
pisa,0,0.0,0.0,0.0,-0.0,-0.0,0.0
pisa,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0
pisa,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
pisa,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0
pisa,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0
pisa,5,4.69,1.493,4.73,-0.0,-0.0,0.0
pisa,6,-0.246,1.486,3.166,-0.0,-0.0,0.0
pisa,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0
pisa,8,2.228,1.098,-1.144,-0.0,-0.0,0.0
pisa,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0
pisa,10,-0.262,0.804,2.018,-0.0,-0.0,0.0
pisa,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0
pisa,12,4.066,3.593,4.868,-0.0,-0.0,0.0
pisa,13,0.65,6.785,9.923,-0.0,-0.0,0.0
pisa,14,-3.1,3.333,9.533,-0.0,-0.0,0.0
pisa,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0
pisa,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0
pisa,17,-0.218,9.922,6.546,-0.0,-0.0,0.0
pisa,18,-0.955,0.542,5.352,-0.0,-0.0,0.0
pisa,19,-11.187,6.316,10.29,-0.0,-0.0,0.0
pisa,20,-0.554,1.853,7.064,-0.0,-0.0,0.0
pisa,21,1.369,-5.247,3.232,-0.0,-0.0,0.0
pisa,22,0.07,-5.888,11.303,-0.0,-0.0,0.0
pisa,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
pisa,24,4.404,6.321,12.233,-0.0,-0.0,0.0
pisa,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0
pisa,26,9.549,-16.666,0.679,-0.0,-0.0,0.0
pisa,27,5.917,21.6,-2.128,-0.0,-0.0,0.0
pisa,28,-2.328,1.908,-0.602,-0.0,-0.0,0.0
pisa,29,1.98,-2.287,-3.209,-0.0,-0.0,0.0
pisa,30,-1.564,1.008,-6.45,-0.0,-0.0,0.0
sipper,0,0.0,0.0,0.0,-0.0,-0.0,0.0
sipper,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0
sipper,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
sipper,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0
sipper,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0
sipper,5,4.69,1.493,4.73,-0.0,-0.0,0.0
sipper,6,-0.246,1.486,3.166,-0.0,-0.0,0.0
sipper,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0
sipper,8,2.228,1.098,-1.144,-0.0,-0.0,0.0
sipper,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0
sipper,10,-0.262,0.804,2.018,-0.0,-0.0,0.0
sipper,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0
sipper,12,4.066,3.593,4.868,-0.0,-0.0,0.0
sipper,13,0.65,6.785,9.923,-0.0,-0.0,0.0
sipper,14,-3.1,3.333,9.533,-0.0,-0.0,0.0
sipper,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0
sipper,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0
sipper,17,-0.218,9.922,6.546,-0.0,-0.0,0.0
sipper,18,-0.955,0.542,5.352,-0.0,-0.0,0.0
sipper,19,-11.187,6.316,10.29,-0.0,-0.0,0.0
sipper,20,-0.554,1.853,7.064,-0.0,-0.0,0.0
sipper,21,1.369,-5.247,3.232,-0.0,-0.0,0.0
sipper,22,0.07,-5.888,11.303,-0.0,-0.0,0.0
sipper,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
sipper,24,4.404,6.321,12.233,-0.0,-0.0,0.0
sipper,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0
sipper,26,9.549,-16.666,0.679,-0.0,-0.0,0.0
